Name	Frequency [meV]	ZPR [meV]	Reference_Alpha	Reference_ZPR [meV]
mp-568273	125.60071658452866	-70.024958	1.818616	-66.819869
mp-568284	323.5981236062926	-59.338034	3.133635	-54.266335
mp-568536	220.1296734268386	-53.204521	3.955156	-48.539396
mp-568544	135.8894708036201	-68.21551	3.103248	-63.80708
mp-568560	13.54501597317891	-39.04615	2.770809	-37.530657
mp-568619	1360.148269617587	-42.927543	0.360739	-42.604499
mp-568661	192.64944143691991	-5.978747	0.265259	-5.95099
mp-568662	88.61626612817882	-151.184363	5.304019	-134.808194
mp-568968	228.48767978226778	-19.637057	1.120072	-19.267925
mp-569028	160.39893843857314	-47.510746	4.024393	-45.182583
mp-569149	193.667530629538	-118.974899	7.298078	-106.255241
mp-569346	61.53264032774019	-4.57275	0.231876	-4.551562
mp-569442	617.2076348175713	-527.465258	26.527145	-289.104007
mp-569548	160.064197669884	-2.626775	0.389558	-2.618201
mp-569639	19.687926780843757	-63.097627	3.065045	-60.344377
mp-569677	145.3884369748173	-71.714255	1.89761	-68.849083
mp-569779	50.63814344855041	-6.115881	0.220832	-6.09752
mp-569812	955.6496339230721	-145.469492	4.818352	-138.461709
mp-570008	83.94512288704395	-32.481174	1.009467	-31.660852
mp-570097	455.7045522578542	-40.782418	1.147065	-40.177319
mp-570213	59.45424506868663	-1.04446	0.037284	-1.044006
mp-570324	264.1083655776265	-52.941208	3.76809	-49.254188
mp-570354	14.07426949914201	-28.346818	1.961001	-27.599653
mp-570485	386.4306615121123	-11.375658	0.219645	-11.350729
mp-570538	542.9266152266783	-254.020273	6.745522	-240.821163
mp-570891	18.8664595349243	-82.042268	4.079905	-76.973358
mp-570935	213.9887105176424	-57.046787	1.352577	-55.448616
mp-571102	11.075010408615816	-24.294393	2.13029	-23.592982
mp-571124	225.8493650372829	-515.318369	18.915814	-286.164032
mp-571166	236.80933363761324	-137.224474	5.19818	-118.403778
mp-571222	13.191937663491915	-68.887815	4.820269	-63.588698
mp-571306	540.6600678639489	-18.28162	0.493281	-18.118226
mp-571386	17.857195852565447	-38.105078	2.074062	-37.036932
mp-571461	229.73455399247771	-23.406409	1.37836	-22.945224
mp-571467	165.6065974343568	-417.547855	17.605383	-213.955777
mp-573204	258.26613419727545	-623.013111	18.316786	-337.538503
mp-573658	545.6106083975362	-35.940839	2.630363	-35.012461
mp-573697	18.84014843076813	-99.869366	4.885531	-92.044123
mp-573721	341.8104738726454	-28.997591	1.900704	-28.292604
mp-573755	147.84774357263217	-16.624117	1.816426	-16.28626
mp-573763	221.79396035985297	-32.016543	2.83043	-29.970696
mp-574599	189.4016412545243	-29.365835	3.080334	-28.463141
mp-5782	356.60174370620337	-19.16505	0.455664	-18.983333
mp-5784	1445.0031727524602	-150.832258	2.510581	-143.69787
mp-5795	385.3808641718102	-63.170336	0.994943	-61.970764
mp-581024	57.66982532310885	-13.547842	1.183082	-13.34482
mp-581833	406.6436730680563	-159.449581	6.788016	-154.487026
mp-5840	725.7316342143015	-220.993116	2.571352	-206.525273
mp-5858	744.1608256961707	-249.7513	6.160408	-225.017516
mp-5860	302.38943816494935	-161.545853	4.596354	-148.765886
mp-5878	261.50254062111236	-219.946859	4.607722	-196.565828
mp-588	747.5324063481348	-225.186103	3.637508	-208.272304
mp-5928	588.7578456701292	-32.60065	0.781405	-32.211794
mp-5955	400.3027962223927	-278.672961	6.76901	-255.458104
mp-5962	170.64648902190416	-15.906106	0.708124	-15.756663
mp-5967	70.15475028446029	-23.431178	0.573329	-23.234369
mp-5986	376.8651276684068	-174.893171	4.8324	-164.584382
mp-602	69.25870458188442	-2.306682	0.074567	-2.303844
mp-6026	1301.0829425361442	-359.785702	5.936875	-322.232104
