Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume
mp-6989	2.994175235051428	11.373599323352721	1.0242	3.4685094320674614	10.036169232322036	171.283635172
mp-7000	1.434007443482341	31.683697611207112	0.7097	2.466105296514268	4.636254878080006	115.450268655
mp-7027	1.3837754677031862	48.351990329093475	0.6697	3.738898278577975	10.228907649260833	105.034442107
mp-7041	1.3079247167471861	53.21139456856991	0.802	4.197664033856375	7.787517464403992	67.7988551394
mp-7060	0.610143682568778	371.49900152461635	0.5354	9.02943130027776	23.559736015857965	139.37942022
mp-7067	0.08681791868614283	45688.9335227191	0.196	21.7954637691149	33.2048785286554	117.232411635
mp-7077	1.6215174361823803	167.7452079431098	0.6609	4.720732544935988	9.314364984902225	161.158413715
mp-7089	0.7112905070092805	566.4158355233216	0.5723	7.531058731916713	12.30253328130951	187.299344124
mp-7090	0.7707190442147878	433.8041668009036	0.6308	8.786564193250118	16.009936645065874	162.103507079
mp-7100	5.529749579516542	1.1287204485202174	1.8013	3.632056363752964	14.598414429738515	94.0208363034
mp-7104	3.6449092638945584	24.335042320542108	0.6644	2.4076840920239047	9.727213606522255	90.4164484458
mp-7128	1.0271432551414716	144.1585072921951	0.5106	4.176380284816534	11.369397278676164	99.831085949
mp-7140	0.29280622706640674	274.8474842744652	0.5982	7.13587630065822	10.590694306258174	41.386359238
mp-7148	2.17983597113352	20.507085099780433	0.8135	4.147109254317626	39.75237145801661	170.229168284
mp-7173	0.1666086083573215	651.0927392240116	1.1379	18.681292674118367	21.14795231961389	62.9075763525
mp-7176	2.0415712656277396	74.60978423615285	0.8191	5.309821058229443	12.081929313840575	131.916378822
mp-7188	0.3820524479262984	304.0966726821331	0.8154	17.494418339830258	32.632577989899325	41.2883849047
mp-7219	1.3716798020787373	101.30003435102925	0.8053	7.599391634331092	20.678514518978375	281.629278608
mp-7232	3.5244274950973624	14.545121661290654	0.9676	3.331973799314742	8.89283045614516	137.531554847
mp-7233	1.7019295200549627	32.82817928442441	0.9369	5.73633588851168	16.416632113222683	100.406178003
mp-7297	4.643976229639538	12.440066923997644	0.8145	2.3303371861386624	7.608878874379308	172.050859383
mp-730	0.12925185610744652	995.7780775139751	0.8083	18.010094660540926	21.424070733227342	184.628867979
mp-7323	2.245271131485708	19.198331207845325	0.7409	2.239368082988198	5.279893701292116	113.099943116
mp-733	1.2491298356150642	65.1350196856941	0.6373	3.2093630347520294	6.42370971967436	122.445302235
mp-736	0.5091875159717639	449.62711462282795	0.5373	7.016668199171483	11.715265644768559	114.782244421
mp-7374	1.020159114372929	217.39869492369976	0.5857	6.341424622631976	15.876907114081485	161.235832327
mp-7375	3.3045567002334493	2.070334897791353	1.7225	5.540071964584454	44.587777849513635	64.1060963237
mp-7392	0.5846001980946962	484.8287486430875	0.7674	11.76177970927063	17.60211043538867	204.813093096
mp-7421	0.165818443937737	15188.475845136558	0.2339	16.882310582263045	22.0201927111355	154.578306111
mp-743	3.295052801409338	6.914966476336505	1.0836	2.5764753803953395	5.768416395458345	146.804276336
mp-7436	0.3372018290388127	4748.262603168343	0.3338	8.955789592253508	11.918095055433167	167.500994851
mp-7437	0.3583998132864276	1772.290973755026	0.3833	8.00311165204218	11.899502795721107	142.008770837
mp-7438	0.16767849153060507	14638.7179920397	0.2564	16.322736813018622	20.945935782021998	182.846661037
mp-7439	0.8559634239642595	341.1451914921171	0.6856	7.902508493253473	12.611890111946243	179.154968081
mp-7446	2.1944657210808853	60.2606472060055	0.8605	4.091752412062099	7.2487886397667625	292.191701612
mp-7447	1.2257490300791416	172.6213741539085	0.8331	6.706578608770109	10.006327656353207	321.186496416
mp-7449	1.3310433973474378	200.13474276519494	0.7896	6.119507767723102	9.32876532205807	357.517790649
mp-7457	5.013067797819367	3.0937051802654625	1.3569	3.6386956581806467	17.157964243477178	210.849366009
mp-7467	2.869824860840108	6.365699554301272	1.4104	3.534849784843816	6.146408603036131	153.943568149
mp-7469	0.9282957466576782	102.14394469736516	0.8079	4.68912172681764	6.944353088206523	178.758639514
mp-7470	1.6819483976326854	87.00374079196254	0.719	3.889527528213318	7.131339993089577	255.877800591
mp-7472	2.64619394713565	9.695570233464373	1.2171	3.295821715424938	5.904875200272805	172.151881968
mp-7505	1.6104026822801363	63.08653589496865	1.1002	7.173023517075447	11.8812449483081	256.603868955
mp-752580	9.70530527208322	0.1303745855962679	2.2322	2.4371076479332796	7.127186128706602	206.75841993
mp-752658	1.2617439183258918	60.94380559526936	0.7885	5.6396783703216835	13.97009492875801	84.2503487185
mp-752676	1.5045437052925932	45.446178326274286	0.7589	5.722460090277652	30.08500818561157	241.324091074
mp-753098	2.2118283816481896	10.26816168282177	1.3095	4.100234267595171	7.310667679727046	41.3009698076
mp-753260	1.5861058074490988	40.656048723366645	0.8712	4.9329304430579155	11.6463579709623	75.5979582157
mp-753287	0.8306047382426507	360.8896761597638	0.4143	5.280734059920158	17.75378767122628	52.6231182913
mp-753401	3.603439167001015	1.5967074774364507	1.8469	4.7400339396647855	18.971861630103458	196.837949718
mp-753671	1.4639899314618867	16.190452685409806	0.9324	3.1799386978046864	6.253468047583301	75.7452945595
